Expected Task Name,Utterance,Type of Utterance,Matched Intent(s) Kore,Status,Kore Total CS score,Kore ML score,Matched Intent(s) API,Status,ScoreApi,Matched Intent(s) Luis,Status,ScoresLuis
None,Can i cancel my paid transaction?,Negative,Empty Response qabots,fail,Null,Null,Transfer Funds,fail,0.310000002384,Empty Response,fail,Null
None,When can i apply for money repayment?,Negative,Empty Response qabots,fail,Null,Null,Apply for Loan,fail,0.620000004768,Empty Response,fail,Null
None,Update my phone number for my account,Negative,Empty Response qabots,fail,Null,Null,Transfer Funds,fail,0.310000002384,Empty Response,fail,Null
None,Under what conditions does a debit card get deactivated.,Negative,Empty Response qabots,fail,Null,Null,None,pass,1.0,Empty Response,fail,Null
None,Has my pension been debited?,Negative,Empty Response qabots,fail,Null,Null,None,pass,1.0,Empty Response,fail,Null
None,What if i sent money to the wrong account?,Negative,Empty Response qabots,fail,Null,Null,Transfer Funds,fail,0.5,Empty Response,fail,Null
None,Please request to issue a new cheque book,Negative,Empty Response qabots,fail,Null,Null,None,pass,1.0,Empty Response,fail,Null
None,Please make a 1200USD payment to transco,Negative,Empty Response qabots,fail,Null,Null,None,pass,1.0,Empty Response,fail,Null
None,Water bill is 600 please pay accordingly,Negative,Empty Response qabots,fail,Null,Null,None,pass,1.0,Empty Response,fail,Null
None,I need Change for 10 dollar bill,Negative,Empty Response qabots,fail,Null,Null,Apply for Loan,fail,0.72000002861,Empty Response,fail,Null
None,are you charging for online bill payments?,Negative,Empty Response qabots,fail,Null,Null,None,pass,1.0,Empty Response,fail,Null
None,My bill payment was not successfull will amount be refunded.,Negative,Empty Response qabots,fail,Null,Null,None,pass,1.0,Empty Response,fail,Null
None,will the bill receipt be sent to my email.,Negative,Empty Response qabots,fail,Null,Null,Transfer Funds,fail,0.479999989271,Empty Response,fail,Null
Pay a Bill,Please paybill,Spell Errors,Empty Response qabots,fail,Null,Null,None,fail,1.0,Empty Response,fail,Null
Pay a Bill,Pay bIll,Spell Errors,Empty Response qabots,fail,Null,Null,None,fail,1.0,Empty Response,fail,Null
Pay a Bill,Clear the invoive,Spell Errors,Empty Response qabots,fail,Null,Null,Pay a Bill,pass,0.730000019073,Empty Response,fail,Null
Pay a Bill,Please make a payment of USD 100 to my Uber account,Spell Errors,Empty Response qabots,fail,Null,Null,Pay a Bill,pass,1.0,Empty Response,fail,Null
Pay a Bill,Pat 100 to his accont,Spell Errors,Empty Response qabots,fail,Null,Null,None,fail,1.0,Empty Response,fail,Null
Pay a Bill,Perchaise of 1000 made on accoumt,Spell Errors,Empty Response qabots,fail,Null,Null,None,fail,1.0,Empty Response,fail,Null
Pay a Bill,poynent has made for new bill,Spell Errors,Empty Response qabots,fail,Null,Null,Apply for Loan,fail,0.370000004768,Empty Response,fail,Null
View Account Balance,What's my Outstanding account balance?,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
View Account Balance,How much money is left in my account?,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
View Account Balance,What's my outstanding balance?,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.649999976158,Empty Response,fail,Null
View Account Balance,How much money am i left with?,Positive,Empty Response qabots,fail,Null,Null,None,fail,1.0,Empty Response,fail,Null
View Account Balance,What's the updated account balance,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.660000026226,Empty Response,fail,Null
View Account Balance,Want to view my account statement,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
View Account Balance,What are current savings in my account,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
View Account Balance,Can I have my bank statement,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
View Account Balance,Want to get my account balance,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
View Account Balance,Want to review my outstanding bank credit ,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
View Account Balance,What amount is available in my account?,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.550000011921,Empty Response,fail,Null
View Account Balance,What is my bank balance,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.740000009537,Empty Response,fail,Null
View Account Balance,generate my bank statement,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.97000002861,Empty Response,fail,Null
View Account Balance,generate my account balance sheet,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
View Account Balance,generate my outstanding balance statement,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
View Account Balance,generate my account information,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
View Account Balance,Need to view my balance,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.540000021458,Empty Response,fail,Null
View Account Balance,have to view current balance,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.579999983311,Empty Response,fail,Null
View Account Balance,show me updated balance,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.519999980927,Empty Response,fail,Null
View Account Balance,Show the savings status ,Positive,Empty Response qabots,fail,Null,Null,None,fail,1.0,Empty Response,fail,Null
View Account Balance,generate a balance inquiry on my account,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.949999988079,Empty Response,fail,Null
View Account Balance,I need a mini statement on my account balance,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.800000011921,Empty Response,fail,Null
View Account Balance,Notify me on the remaining balance in account ,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.629999995232,Empty Response,fail,Null
View Account Balance,How much money do i have?,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.360000014305,Empty Response,fail,Null
View Account Balance,Can you tell me the opening balance,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
View Account Balance,View the opening balance,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.949999988079,Empty Response,fail,Null
View Account Balance,View the current opening balance of my current account,Positive,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.990000009537,Empty Response,fail,Null
View Account Balance,I want to know why has my cheque bounced?,Structurally Different,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
View Account Balance,How much money is unused in my ac now?,Structurally Different,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
None,Can I view my account balance on mobile app?,Negative,Empty Response qabots,fail,Null,Null,View Account Balance,fail,0.709999978542,Empty Response,fail,Null
None,How can i know the rate of interest for savings account?,Negative,Empty Response qabots,fail,Null,Null,Apply for Loan,fail,0.340000003576,Empty Response,fail,Null
None,Can there be a co-holder for savings account?,Negative,Empty Response qabots,fail,Null,Null,None,pass,1.0,Empty Response,fail,Null
None,How safe is it to view account balance on net banking?,Negative,Empty Response qabots,fail,Null,Null,View Account Balance,fail,0.629999995232,Empty Response,fail,Null
None,How can I link my account info to my alternate account,Negative,Empty Response qabots,fail,Null,Null,Transfer Funds,fail,0.639999985695,Empty Response,fail,Null
None,Can i view the pending payments,Negative,Empty Response qabots,fail,Null,Null,Apply for Loan,fail,0.300000011921,Empty Response,fail,Null
View Account Balance,Wat's my ac bal?,Spell Errors,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
View Account Balance,Is my ac bal up to date?,Spell Errors,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
View Account Balance,How many $ remaining in my ac nw?,Spell Errors,Empty Response qabots,fail,Null,Null,View Account Balance,pass,1.0,Empty Response,fail,Null
View Account Balance,View a ac update on me ac,Spell Errors,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.389999985695,Empty Response,fail,Null
View Account Balance,View belounce account informmation ,Spell Errors,Empty Response qabots,fail,Null,Null,Transfer Funds,fail,0.449999988079,Empty Response,fail,Null
View Account Balance,How muc maney is ldft in my account?,Spell Errors,Empty Response qabots,fail,Null,Null,View Account Balance,pass,0.759999990463,Empty Response,fail,Null
